run #,pathway,process,location,function,equipment,variable group,variable name,unit,value
0,all,all,all,all,all,input parameter,scenario,-,baseline
0,all,all,all,all,all,input parameter,run #,-,0
0,all,all,all,all,all,input parameter,output dollar year,-,2022.0
0,all,all,all,all,all,input parameter,target station capacity,kg/day,1000.0
0,all,all,all,all,all,input parameter,target number of stations,-,10.0
0,all,all,all,all,all,input parameter,one-way delivery distance,mile,100.0
0,all,all,all,all,all,input parameter,electricity cost,$/kWh,0.1709
0,all,all,all,all,all,input parameter,diesel cost,$/gallon,6.028
0,all,all,all,all,all,input parameter,electricity emission factor,kg CO2/kWh,0.228
0,all,all,all,all,all,input parameter,diesel emission factor,kg CO2/gallon,10.18
0,all,all,all,all,all,input parameter,hydrogen prod. emission factor,kg CO2-eq/kg,0.0
0,all,all,all,all,all,input parameter,formic acid prod. emission factor,kg CO2-eq/kg,0.0
0,all,all,all,all,all,input parameter,hydrogen purchase cost,$/kg,0.31
0,all,all,all,all,all,input parameter,formic acid purchase cost,$/kg,0.0
0,all,all,all,all,all,input parameter,formic acid production pathway,-,electro
0,all,all,all,all,all,input parameter,hydr. reaction temperature,K,366.15
0,all,all,all,all,all,input parameter,hydr. reaction pressure,bar,105.0
0,all,all,all,all,all,input parameter,hydr. reaction yield,-,1.0
0,all,all,all,all,all,input parameter,hydr. reactor volume,m^3,1.0
0,all,all,all,all,all,input parameter,number of hydr. reactors,-,1.0
0,all,all,all,all,all,input parameter,hydr. catalyst amount,kg,53.0
0,all,all,all,all,all,input parameter,hydr. catalyst cost,$/kg,5450.0
0,all,all,all,all,all,input parameter,hydr. catalyst lifetime,yr,1.0
0,all,all,all,all,all,input parameter,hydr. reactor energy,unit TBD,0.0
0,all,all,all,all,all,input parameter,hydr. separator energy,unit TBD,0.0
0,all,all,all,all,all,input parameter,CO2 electrolyzer purchase cost,$/m^2,5250.0
0,all,all,all,all,all,input parameter,terminal formic acid storage amount,days,0.25
0,all,all,all,all,all,input parameter,dehydr. reaction temperature,K,300.0
0,all,all,all,all,all,input parameter,dehydr. reaction pressure,bar,1.0
0,all,all,all,all,all,input parameter,dehydr. reaction yield,-,0.9999
0,all,all,all,all,all,input parameter,dehydr. reactor volume,m^3,0.0731028611028611
0,all,all,all,all,all,input parameter,number of dehydr. reactors,-,1.0
0,all,all,all,all,all,input parameter,dehydr. catalyst amount,kg,9.64671203342243
0,all,all,all,all,all,input parameter,dehydr. catalyst cost,$/kg,3500.0
